RECEIPTID	PROBLEMRECEIPT	RECEIPTDATE	ITEMSCLEARLYMARKED	PERSON_ID	CHILDORADULT	ITEM_ID	FOOD_ID	FOOD_SHARE	FOOD_PRICE	FOOD_CATEGORY	FOOD_QUANTITY	COMB_ID	RESTAURANT	FOODNAME	CALORIESCAL	FATG	SATFATG	CHOLESTEROLMG	SODIUMMG	CARBOHYDRATESG	SUGARG	PROTEING	COMBNUM	PRICEOFTHECOMBOMEAL	LARGE	ROUND	RECEIPTID3	NEMSLOCATIONINDICATOR
B103-001	No	 	Yes	900030	Adult	900700	36	0	4.39	Burger	1	0	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	 	 	 	1	 	B103
B103-001	No	 	Yes	900030	Adult	901032	36	0	0	Burger	1	0	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	 	 	 	1	 	B103
B103-002	No	 	Yes	900031	Adult	900701	256	0	1	Sandwich	2	0	Burger King	Chicken Crisp Sandwich- Spicy	480	27	5	45	930	40	6	17	 	 	 	1	 	B103
B103-003	No	 	Yes	900032	Adult	900704	274	0	 	Side Item	1	900032	Burger King	French Fries - large (Salted)	500	22	3.5	0	710	72	0	5	1	8.19	1	1	 	B103
B103-003	No	 	Yes	900032	Adult	900706	282	0	2.49	wraps	1	0	Burger King	Honey Mustard Grilled Chicken Wrap	370	19	5	55	950	29	6	19	 	 	 	1	 	B103
B103-003	No	 	Yes	900032	Adult	900705	900023	0	 	cold beverages	1	900032	Burger King	GENERIC DRINK 40 fl oz- LARGE	 	 	 	 	 	 	 	 	1	8.19	1	1	 	B103
B103-003	No	 	Yes	900032	Adult	900703	42	0	 	Burger	1	900032	Burger King	DOUBLE WHOPPER Sandwich with Cheese	990	65	24	160	1480	53	11	52	1	8.19	1	1	 	B103
B103-003	No	 	Yes	900032	Adult	900702	196	0	1.89	Dessert	4	0	Burger King	HERSHEY'S Sundae Pie	310	19	12	10	220	32	22	3	 	 	 	1	 	B103
B103-004	No	 	Yes	900033	Adult	900708	267	0	1	Side Item	1	0	Burger King	Onion Rings - value	150	8	1.5	0	400	19	2	1	 	 	 	1	 	B103
B103-004	No	 	Yes	900033	Adult	900707	48	0	1.89	Burger	2	0	Burger King	WHOPPER JR. Sandwich	340	19	5	40	510	28	6	14	 	 	 	1	 	B103
B103-005	Yes	 	Yes	900034	Adult	900710	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-005	Yes	 	Yes	900034	Adult	900709	50	0	2.09	Burger	2	0	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	 	 	 	1	 	B103
B103-006	No	 	Yes	900035	Adult	900713	900022	0	 	cold beverages	1	900035	Burger King	GENERIC DRINK 30 fl oz- MEDIUM	 	 	 	 	 	 	 	 	1	7.39	0	1	 	B103
B103-006	No	 	Yes	900035	Adult	900712	273	0	 	Side Item	1	900035	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	1	7.39	0	1	 	B103
B103-006	No	 	Yes	900035	Adult	900711	38	0	 	Burger	1	900035	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	1	7.39	0	1	 	B103
B103-007	No	 	Yes	900036	Adult	900714	56	0	1	Burger	2	0	Burger King	BK Bacon Burger	320	17	5	40	500	31	7	14	 	 	 	1	 	B103
B103-008	No	 	Yes	900037	Adult	900715	256	0	1	Sandwich	1	0	Burger King	Chicken Crisp Sandwich- Spicy	480	27	5	45	930	40	6	17	 	 	 	1	 	B103
B103-009	No	 	Yes	900038	Adult	900716	900020	0	1	cold beverages	2	0	Burger King	GENERIC DRINK 16 fl oz- VALUE	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-010	No	 	Yes	900039	Adult	900717	74	0	4.29	chicken	1	0	Burger King	Chicken Nuggets- 20 pc	950	57	11	100	1790	67	0	42	 	 	 	1	 	B103
B103-011	No	 	Yes	900040	Adult	900718	71	0	.54	chicken	1	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900720	83	0	3.49	cold beverages	1	0	Burger King	Smoothie: Tropical Mango- 20 fl oz- LARGE	450	1.5	0	5	95	104	85	4	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900724	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900722	253	0	4.49	Sandwich	1	0	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900721	273	0	1.99	Side Item	1	0	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900719	256	0	1	Sandwich	1	0	Burger King	Chicken Crisp Sandwich- Spicy	480	27	5	45	930	40	6	17	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900723	221	0	.4	Extra	2	0	Burger King	American Cheese (slice)- may vary	45	4	2.5	10	220	1	0	2	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	901033	253	0	0	Sandwich	1	0	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	 	 	 	1	 	B103
B103-013	No	 	Yes	900043	Child	900727	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-013	No	 	Yes	900042	Adult	900725	56	0	1	Burger	1	0	Burger King	BK Bacon Burger	320	17	5	40	500	31	7	14	 	 	 	1	 	B103
B103-013	No	 	Yes	900043	Child	900726	71	0	1	chicken	1	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-014	No	 	Yes	900044	Adult	900728	78	0	1	cold beverages	1	0	Burger King	Smoothie: Strawberry Banana 12 fl oz- SMALL	200	0	0	0	20	48	40	1	 	 	 	1	 	B103
B103-015	No	 	Yes	900045	Adult	900729	900021	0	1.79	cold beverages	1	0	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-016	No	 	Yes	900046	Adult	900730	279	0	2.49	wraps	1	0	Burger King	Ranch Crispy Chicken Wrap	370	23	6	35	1010	29	1	14	 	 	 	1	 	B103
B103-017	No	 	Yes	900047	Adult	900731	38	0	 	Burger	1	900046	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	1	6.99	0	1	 	B103
B103-017	No	 	Yes	900047	Adult	900733	900021	0	 	cold beverages	1	900046	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	6.99	0	1	 	B103
B103-017	No	 	Yes	900047	Adult	900732	272	0	 	Side Item	1	900046	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	6.99	0	1	 	B103
B103-018	No	 	Yes	900072	Adult	900810	236	0	5.99	Salad	1	0	Burger King	Chicken Caesar Garden Fresh Salad with TENDERGRILL and dressing	530	32	5	95	1640	26	6	35	 	 	 	1	 	B103
B103-019	No	 	Yes	900073	Adult	900811	81	0	1	cold beverages	1	0	Burger King	Smoothie: Tropical Mango- 12 fl oz- SMALL	210	.5	0	0	40	51	41	2	 	 	 	1	 	B103
B103-020	No	 	Yes	900074	Adult	900812	50	0	2.09	Burger	1	0	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	 	 	 	1	 	B103
B103-020	No	 	Yes	900074	Adult	900814	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-020	No	 	Yes	900074	Adult	900813	71	0	1	chicken	1	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-021	No	 	Yes	900075	Adult	900817	900022	0	 	cold beverages	1	900074	Burger King	GENERIC DRINK 30 fl oz- MEDIUM	 	 	 	 	 	 	 	 	1	8.19	0	1	 	B103
B103-021	No	 	Yes	900075	Adult	900816	273	0	 	Side Item	1	900074	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	1	8.19	0	1	 	B103
B103-021	No	 	Yes	900075	Adult	900815	63	0	 	Burger	1	900074	Burger King	Avocado Swiss Whopper	730	39	15	100	1510	58	10	38	1	8.19	0	1	 	B103
B103-022	No	 	Yes	900076	Adult	900818	50	0	 	Burger	1	900075	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	1	5.39	0	1	 	B103
B103-022	No	 	Yes	900076	Adult	900819	272	0	 	Side Item	1	900075	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	5.39	0	1	 	B103
B103-022	No	 	Yes	900076	Adult	900820	900021	0	 	cold beverages	1	900075	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	5.39	0	1	 	B103
B103-023	No	 	Yes	900077	Adult	900823	272	0	1.79	Side Item	1	0	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	 	 	 	1	 	B103
B103-023	No	 	Yes	900077	Adult	900821	253	0	4.49	Sandwich	1	0	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	 	 	 	1	 	B103
B103-023	No	 	Yes	900077	Adult	900822	900060	0	.2	Extra	1	0	Burger King	Tomato	0	0	0	0	0	1	1	0	 	 	 	1	 	B103
