receiptid,person_id,limit,age,age_std,gender,race,edu,city,caff,location,round,nsigns_ssb,num_kids,surveydate,days_since_ban,caloriescal,fatg,sugarg,black,caff_std,nsigns_ssb_std,days_since_ban_std,caloriescal_std,fatg_std,sugarg_std
B103-098,900563,Sometimes,30,-0.6696585347593059,F,Black,Associates Degree,New York,0,B103,1,12,0,2013-12-02,265,1775,94,17,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.4933701767615819,-0.42199289121069505,-0.47754477768432235
B103-022,900076,Sometimes,22,-1.219168830851575,F,Other,Some College,New York,0,B103,1,12,0,2013-08-01,142,3580,196,30,non-Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.3289133097841984,-0.19045483538379976,-0.4538264593473362
B103-091,900582,Never,40,0.01722933535603033,F,White,High School,New York,1136.64000366212,B103,1,12,0,2013-12-02,265,22640,1372,185,non-Black,2.573036706643789,2.2680425648009814,0.18491034610003185,1.4076783160268431,2.4790427494439347,-0.1710311253294241
B103-081,900569,Never,20,-1.356546404874642,F,Other,Some High School,New York,0,B103,1,12,0,2013-12-02,265,5590,278,58,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.1457785160863918,-0.0043163983464917476,-0.40274085062151976
B103-080,900568,Sometimes,34,-0.39490338671317143,M,Other,High School,New York,0,B103,1,12,0,2013-12-02,265,1970,95,19,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.47560336841776485,-0.4197229102712157,-0.4738958056324783
B103-090,900578,Seldom,19,-1.4252351918861759,F,Other,High School,New York,100.89600025750002,B103,1,12,0,2013-12-02,265,35190,2021,243,non-Black,-0.13938981889264176,2.2680425648009814,0.18491034610003185,2.5511318786673765,3.9522603791660433,-0.06521093582594732
B103-024,900078,Sometimes,61,1.4596938625982365,M,Black,Some College,New York,75.77600097658,B103,1,12,0,2013-08-01,142,10990,622,85,Black,-0.20517456121029118,2.2680425648009814,-0.43058541862010247,0.3462254072808497,0.7765570448344101,-0.3534797279216254
B103-067,900021,Always,51,0.7728059924829002,F,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,2350,124,29,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.44098087010673676,-0.3538934630263141,-0.4556509453732582
B103-086,900574,Never,58,1.2536275015636356,F,Black,Some College,New York,0,B103,1,12,0,2013-12-02,265,2840,147,110,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.3963360696530426,-0.30168390141828866,-0.3078675772735751
B103-023,900077,Never,50,0.7041172054713666,F,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,15190,711,59,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,0.7288951254553709,0.9785853484480737,-0.40091636459559776
B103-099,900564,Never,63,1.5970714366213037,M,Other,High School,New York,0,B103,1,12,0,2013-12-02,265,1790,92,97,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.4920034991966729,-0.42653285308965383,-0.3315858956105613
B103-082,900570,Seldom,35,-0.3262145997016378,F,Other,College Degree,New York,1.6,B103,1,12,1,2013-12-02,265,7690,422,111,non-Black,-0.39942811415941015,2.2680425648009814,0.18491034610003185,0.04555634300086878,0.3225608569385369,-0.30604309124765305
B103-097,900562,Never,27,-0.8757248957939068,F,Black,Some College,New York,1343.20000244142,B103,1,12,0,2013-12-02,265,17850,493,2175,Black,3.1139800458878875,2.2680425648009814,0.18491034610003185,0.9712526136325677,0.4837295036415719,3.459696066255382
B103-005,900034,Never,50,0.7041172054713666,M,Black,College Degree,New York,109.39200210572,B103,1,12,0,2013-08-01,142,7860,476,57,Black,-0.11714032413489532,2.2680425648009814,-0.43058541862010247,0.06104535540317083,0.4451398276704227,-0.4045653366474418
B103-079,900567,Sometimes,22,-1.219168830851575,F,Other,Some College,New York,184.17600059514,B103,1,12,1,2013-12-02,265,15740,702,218,non-Black,0.07870546451712557,2.2680425648009814,0.18491034610003185,0.7790066361687011,0.9581555199927594,-0.11082308647399765
B103-021,900075,Always,29,-0.7383473217708395,M,Black,Graduate Degree,New York,306.15999984743,B103,1,12,0,2013-08-01,142,11770,514,763,Black,0.39815953248692104,2.2680425648009814,-0.43058541862010247,0.41729264065611793,0.5313991033706386,0.8835217976534996
B103-105,200201,Never,27,-0.8757248957939068,M,Black,High School,New York,0,B103,1,12,0,2013-12-02,265,1770,89,21,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.49382573594988494,-0.4333427959080919,-0.4702468335806343
B103-103,200199,Never,31,-0.6009697477477722,F,Other,College Degree,New York,0,B103,1,12,0,2013-12-02,265,1790,102,9,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.4920034991966729,-0.40383304369486017,-0.4921406658916984
